,location,total_sqft,bath,price,bhk
5200,"DHA Defence, Karachi, Sindh",1752,3,145,3
5201,"DHA Defence, Karachi, Sindh",960,2,56,2
5202,"DHA Defence, Karachi, Sindh",2270,3,180,3
5203,"DHA Defence, Karachi, Sindh",650,2,59,2
5204,"DHA Defence, Karachi, Sindh",1200,2,75,2
5208,"DHA Defence, Karachi, Sindh",1300,3,69,3
5210,"DHA Defence, Karachi, Sindh",2006,4,196,3
5211,"DHA Defence, Karachi, Sindh",1290,2,80,2
5213,"DHA Defence, Karachi, Sindh",1400,2,78,2
5214,"DHA Defence, Karachi, Sindh",1200,2,75,2
5215,"DHA Defence, Karachi, Sindh",1155,2,60,3
5217,"DHA Defence, Karachi, Sindh",1112,2,88,2
5218,"DHA Defence, Karachi, Sindh",1178,2,78,2
5219,"DHA Defence, Karachi, Sindh",1274,2,81,2
5223,"DHA Defence, Karachi, Sindh",1645,3,95,3
5227,"DHA Defence, Karachi, Sindh",1097,2,65,2
5229,"DHA Defence, Karachi, Sindh",1715,3,115,3
5233,"DHA Defence, Karachi, Sindh",1400,2,78,3
5234,"DHA Defence, Karachi, Sindh",458,1,19.695,1
5236,"DHA Defence, Karachi, Sindh",1640,3,88,3
5245,"DHA Defence, Karachi, Sindh",2062,3,140,4
5246,"DHA Defence, Karachi, Sindh",1171,2,75,2
5250,"DHA Defence, Karachi, Sindh",1760,3,110,3
5251,"DHA Defence, Karachi, Sindh",1645,3,121,3
5252,"DHA Defence, Karachi, Sindh",1250,2,72,2
5253,"DHA Defence, Karachi, Sindh",709,1,34.385,1
5254,"DHA Defence, Karachi, Sindh",1938,3,113,3
5255,"DHA Defence, Karachi, Sindh",1650,3,86.45,3
5257,"DHA Defence, Karachi, Sindh",2885,3,185,4
5260,"DHA Defence, Karachi, Sindh",4500,5,300,4
5262,"DHA Defence, Karachi, Sindh",4104,4,360,4
5263,"DHA Defence, Karachi, Sindh",5000,4,375,4
5264,"DHA Defence, Karachi, Sindh",3295,4,260,5
5265,"DHA Defence, Karachi, Sindh",1200,3,61.96,3
5267,"DHA Defence, Karachi, Sindh",812,1,26,1
5271,"DHA Defence, Karachi, Sindh",3000,4,306,4
5273,"DHA Defence, Karachi, Sindh",1300,2,109,2
5274,"DHA Defence, Karachi, Sindh",1053.4,3,88.91,3
5275,"DHA Defence, Karachi, Sindh",605,1,41.745,1
5276,"DHA Defence, Karachi, Sindh",1583,3,109,3
5277,"DHA Defence, Karachi, Sindh",1505,2,90,2
5278,"DHA Defence, Karachi, Sindh",1365,2,75.08,3
5279,"DHA Defence, Karachi, Sindh",1200,3,95.75,3
5280,"DHA Defence, Karachi, Sindh",1810,4,148,3
5281,"DHA Defence, Karachi, Sindh",440,1,35,1
5282,"DHA Defence, Karachi, Sindh",975,2,63,2
5284,"DHA Defence, Karachi, Sindh",1530,2,97,3
5287,"DHA Defence, Karachi, Sindh",1308,2,83,2
5291,"DHA Defence, Karachi, Sindh",1592,3,91,3
5292,"DHA Defence, Karachi, Sindh",1222,2,112,2
5294,"DHA Defence, Karachi, Sindh",656,1,53,1
5295,"DHA Defence, Karachi, Sindh",4500,5,400,4
5297,"DHA Defence, Karachi, Sindh",1698,3,102,3
5306,"DHA Defence, Karachi, Sindh",1500,2,130,3
5310,"DHA Defence, Karachi, Sindh",2560,3,265,3
5312,"DHA Defence, Karachi, Sindh",2400,3,150,7
5314,"DHA Defence, Karachi, Sindh",1150,2,77,2
5316,"DHA Defence, Karachi, Sindh",2500,3,200,5
5317,"DHA Defence, Karachi, Sindh",1000,2,68,2
5318,"DHA Defence, Karachi, Sindh",1125,2,70,2
5319,"DHA Defence, Karachi, Sindh",1560,3,115,3
5323,"DHA Defence, Karachi, Sindh",3860,3,402,3
5324,"DHA Defence, Karachi, Sindh",2400,4,147,4
5327,"DHA Defence, Karachi, Sindh",2000,4,180,5
5329,"DHA Defence, Karachi, Sindh",1760,3,123,3
5331,"DHA Defence, Karachi, Sindh",1000,2,78,2
5332,"DHA Defence, Karachi, Sindh",1734,3,125,3
5337,"DHA Defence, Karachi, Sindh",3657,5,220,4
5339,"DHA Defence, Karachi, Sindh",950,2,50,2
5340,"DHA Defence, Karachi, Sindh",1732.46,3,92,3
5342,"DHA Defence, Karachi, Sindh",1360,2,103,2
5343,"DHA Defence, Karachi, Sindh",1656,3,150,3
5345,"DHA Defence, Karachi, Sindh",1050,2,75,2
5346,"DHA Defence, Karachi, Sindh",2600,4,260,4
5348,"DHA Defence, Karachi, Sindh",1150,2,74,2
5349,"DHA Defence, Karachi, Sindh",600,3,45,2
5351,"DHA Defence, Karachi, Sindh",1200,2,108,3
5353,"DHA Defence, Karachi, Sindh",624,1,35,1
5354,"DHA Defence, Karachi, Sindh",1060,2,58,2
5355,"DHA Defence, Karachi, Sindh",3960,5,386,4
5357,"DHA Defence, Karachi, Sindh",722,1,46,1
5358,"DHA Defence, Karachi, Sindh",1200,2,93,2
5362,"DHA Defence, Karachi, Sindh",705,1,52.5,1
5366,"DHA Defence, Karachi, Sindh",706,1,48.24,1
5367,"DHA Defence, Karachi, Sindh",1350,4,85,4
5368,"DHA Defence, Karachi, Sindh",1730,3,140,3
5369,"DHA Defence, Karachi, Sindh",3216,5,300,4
5370,"DHA Defence, Karachi, Sindh",1342,3,92,3
5372,"DHA Defence, Karachi, Sindh",1948,3,130,3
5377,"DHA Defence, Karachi, Sindh",3905,7,290,5
5378,"DHA Defence, Karachi, Sindh",1216,2,84,2
5381,"DHA Defence, Karachi, Sindh",1900,3,205,3
5383,"DHA Defence, Karachi, Sindh",1586,3,90,3
5384,"DHA Defence, Karachi, Sindh",2320,3,170,3
5386,"DHA Defence, Karachi, Sindh",1690,3,85,3
5387,"DHA Defence, Karachi, Sindh",1130,2,78,2
5390,"DHA Defence, Karachi, Sindh",1199,2,85,2
5392,"DHA Defence, Karachi, Sindh",661,1,36,1
5393,"DHA Defence, Karachi, Sindh",1710,3,100,3
5396,"DHA Defence, Karachi, Sindh",1200,2,78,2
5397,"DHA Defence, Karachi, Sindh",1751,2,115,3
5398,"DHA Defence, Karachi, Sindh",1778,3,122,3
5401,"DHA Defence, Karachi, Sindh",1358,2,81,2
5402,"DHA Defence, Karachi, Sindh",580,1,27,1
5403,"DHA Defence, Karachi, Sindh",1197,2,63,2
5404,"DHA Defence, Karachi, Sindh",1705,3,110,3
5406,"DHA Defence, Karachi, Sindh",1132,2,67.9,2
5407,"DHA Defence, Karachi, Sindh",814,2,55,2
5408,"DHA Defence, Karachi, Sindh",1575,3,90,3
5410,"DHA Defence, Karachi, Sindh",1800,8,175,6
5411,"DHA Defence, Karachi, Sindh",2006.8,4,196,3
5413,"DHA Defence, Karachi, Sindh",1590,3,120,3
5415,"DHA Defence, Karachi, Sindh",1108,2,87,2
5416,"DHA Defence, Karachi, Sindh",1197,2,79,2
5420,"DHA Defence, Karachi, Sindh",1200,2,66,3
5421,"DHA Defence, Karachi, Sindh",1340,2,77,2
5422,"DHA Defence, Karachi, Sindh",1846,3,145,3
5424,"DHA Defence, Karachi, Sindh",1205,2,70,2
5428,"DHA Defence, Karachi, Sindh",1051,2,60,2
5429,"DHA Defence, Karachi, Sindh",2500,4,260,3
5431,"DHA Defence, Karachi, Sindh",1210,2,76,2
5435,"DHA Defence, Karachi, Sindh",1846,3,155,3
5436,"DHA Defence, Karachi, Sindh",1847,3,135,3
5437,"DHA Defence, Karachi, Sindh",1430,2,110,2
5439,"DHA Defence, Karachi, Sindh",1350,3,85,3
5440,"DHA Defence, Karachi, Sindh",1590,3,96.5,3
5441,"DHA Defence, Karachi, Sindh",1286,3,67,3
5442,"DHA Defence, Karachi, Sindh",1554,3,130,2
5444,"DHA Defence, Karachi, Sindh",1632,3,128,4
5446,"DHA Defence, Karachi, Sindh",1065,2,58,2
5447,"DHA Defence, Karachi, Sindh",1520,2,96,3
5449,"DHA Defence, Karachi, Sindh",1342,2,115,2
5450,"DHA Defence, Karachi, Sindh",654,1,37,1
5451,"DHA Defence, Karachi, Sindh",1950,3,165,3
5453,"DHA Defence, Karachi, Sindh",1000,3,60,2
5454,"DHA Defence, Karachi, Sindh",1174,2,75,2
5455,"DHA Defence, Karachi, Sindh",2661,2,226.5,3
5457,"DHA Defence, Karachi, Sindh",1314,2,78,2
5459,"DHA Defence, Karachi, Sindh",1010,2,55,2
5461,"DHA Defence, Karachi, Sindh",1636,3,97,3
5463,"DHA Defence, Karachi, Sindh",1520,2,125,3
5467,"DHA Defence, Karachi, Sindh",1418,2,104,2
5469,"DHA Defence, Karachi, Sindh",1366,2,83,2
5474,"DHA Defence, Karachi, Sindh",1494,2,94.55,3
5475,"DHA Defence, Karachi, Sindh",1445,2,105,3
5476,"DHA Defence, Karachi, Sindh",1397,3,105,3
5477,"DHA Defence, Karachi, Sindh",606,1,40,1
5479,"DHA Defence, Karachi, Sindh",1530,3,105,3
5480,"DHA Defence, Karachi, Sindh",1575,3,101,3
5481,"DHA Defence, Karachi, Sindh",650,1,25,1
5485,"DHA Defence, Karachi, Sindh",1200,3,72,3
5486,"DHA Defence, Karachi, Sindh",700,2,40,2
5488,"DHA Defence, Karachi, Sindh",1856,3,120,3
5490,"DHA Defence, Karachi, Sindh",1036,2,59.45,2
5494,"DHA Defence, Karachi, Sindh",1730,3,110,3
5495,"DHA Defence, Karachi, Sindh",1795,3,140,3
5497,"DHA Defence, Karachi, Sindh",2100,3,120,3
5498,"DHA Defence, Karachi, Sindh",940,2,49,2
5499,"DHA Defence, Karachi, Sindh",1280,2,80,2
5501,"DHA Defence, Karachi, Sindh",4260,4,272,4
5502,"DHA Defence, Karachi, Sindh",1255,2,95,3
5503,"DHA Defence, Karachi, Sindh",1388,3,69.99,3
5504,"DHA Defence, Karachi, Sindh",905,1,52,1
5509,"DHA Defence, Karachi, Sindh",1252,3,63,3
5510,"DHA Defence, Karachi, Sindh",1170,2,86,2
5514,"DHA Defence, Karachi, Sindh",1486,3,83.22,3
5515,"DHA Defence, Karachi, Sindh",4830,5,390,4
5516,"DHA Defence, Karachi, Sindh",850,2,75,2
5517,"DHA Defence, Karachi, Sindh",2790,4,198,4
5518,"DHA Defence, Karachi, Sindh",2383,5,215,4
5520,"DHA Defence, Karachi, Sindh",1465,3,80.01,3
5522,"DHA Defence, Karachi, Sindh",2266,3,169,3
5523,"DHA Defence, Karachi, Sindh",2065,3,130,3
5524,"DHA Defence, Karachi, Sindh",1800,3,90,3
5529,"DHA Defence, Karachi, Sindh",1235,2,90,2
5530,"DHA Defence, Karachi, Sindh",1200,2,63,2
5533,"DHA Defence, Karachi, Sindh",1200,4,110,4
5534,"DHA Defence, Karachi, Sindh",2400,1,200,1
5535,"DHA Defence, Karachi, Sindh",615,1,24,1
5538,"DHA Defence, Karachi, Sindh",3080,2,285,4
5542,"DHA Defence, Karachi, Sindh",1200,2,130,4
5545,"DHA Defence, Karachi, Sindh",550,1,12,1
5546,"DHA Defence, Karachi, Sindh",1269,2,73,3
5547,"DHA Defence, Karachi, Sindh",2689,6,245,4
5552,"DHA Defence, Karachi, Sindh",1339,2,71.5,2
5554,"DHA Defence, Karachi, Sindh",450,1,25,1
5555,"DHA Defence, Karachi, Sindh",1100,2,70,2
5558,"DHA Defence, Karachi, Sindh",810,1,21,1
5559,"DHA Defence, Karachi, Sindh",1060,2,65,2
5561,"DHA Defence, Karachi, Sindh",1925,3,110,3
5563,"DHA Defence, Karachi, Sindh",1300,2,75,2
5568,"DHA Defence, Karachi, Sindh",670,1,35,1
5569,"DHA Defence, Karachi, Sindh",1483,2,98,2
5574,"DHA Defence, Karachi, Sindh",2162,3,200,3
5578,"DHA Defence, Karachi, Sindh",600,2,55,1
5579,"DHA Defence, Karachi, Sindh",1255,2,95,3
5582,"DHA Defence, Karachi, Sindh",1825,3,175,3
5584,"DHA Defence, Karachi, Sindh",1150,2,60,3
5586,"DHA Defence, Karachi, Sindh",1508,3,75,3
5587,"DHA Defence, Karachi, Sindh",1275,2,87,2
5589,"DHA Defence, Karachi, Sindh",946,2,58,2
5590,"DHA Defence, Karachi, Sindh",1564,3,104,3
5593,"DHA Defence, Karachi, Sindh",1265,2,78,2
5596,"DHA Defence, Karachi, Sindh",2100,4,180,4
5597,"DHA Defence, Karachi, Sindh",1250,2,65,3
5598,"DHA Defence, Karachi, Sindh",1260,3,63.58,3
5599,"DHA Defence, Karachi, Sindh",1265,2,65,3
5600,"DHA Defence, Karachi, Sindh",1045,2,58,2
5601,"DHA Defence, Karachi, Sindh",412.5,1,19.8,1
5602,"DHA Defence, Karachi, Sindh",1100,2,62,2
5604,"DHA Defence, Karachi, Sindh",2774,4,208,4
5606,"DHA Defence, Karachi, Sindh",700,1,30.84,1
5608,"DHA Defence, Karachi, Sindh",1132,2,89,2
5609,"DHA Defence, Karachi, Sindh",1359,2,104,2
5610,"DHA Defence, Karachi, Sindh",2631,3,200,4
5612,"DHA Defence, Karachi, Sindh",600,1,30,1
5613,"DHA Defence, Karachi, Sindh",1200,1,125,1
5614,"DHA Defence, Karachi, Sindh",830,2,60,2
5615,"DHA Defence, Karachi, Sindh",1009,2,56,2
5616,"DHA Defence, Karachi, Sindh",1800,3,195,3
5618,"DHA Defence, Karachi, Sindh",1500,2,88,2
5619,"DHA Defence, Karachi, Sindh",1363,2,79,2
5621,"DHA Defence, Karachi, Sindh",2792,4,220,4
5622,"DHA Defence, Karachi, Sindh",700,1,59,1
5624,"DHA Defence, Karachi, Sindh",1200,2,67,2
5625,"DHA Defence, Karachi, Sindh",1495,2,75,3
5627,"DHA Defence, Karachi, Sindh",1500,3,95,3
5628,"DHA Defence, Karachi, Sindh",1450,2,81,3
5630,"DHA Defence, Karachi, Sindh",1650,3,110,3
5632,"DHA Defence, Karachi, Sindh",856,2,48,2
5633,"DHA Defence, Karachi, Sindh",1143,2,62,2
5634,"DHA Defence, Karachi, Sindh",1349,2,97.8,2
5637,"DHA Defence, Karachi, Sindh",1117,2,110,2
5638,"DHA Defence, Karachi, Sindh",1724,3,124,3
5639,"DHA Defence, Karachi, Sindh",1200,4,90,4
5640,"DHA Defence, Karachi, Sindh",600,1,43,1
5642,"DHA Defence, Karachi, Sindh",1216,2,75,2
5643,"DHA Defence, Karachi, Sindh",2145,3,190,3
5644,"DHA Defence, Karachi, Sindh",957,2,53,2
5646,"DHA Defence, Karachi, Sindh",1115,2,61,2
5647,"DHA Defence, Karachi, Sindh",1385,2,69,3
5648,"DHA Defence, Karachi, Sindh",760,1,24.9,1
5652,"DHA Defence, Karachi, Sindh",1341,2,75.76,2
5653,"DHA Defence, Karachi, Sindh",1200,3,70,3
5655,"DHA Defence, Karachi, Sindh",1679,3,92.13,3
5656,"DHA Defence, Karachi, Sindh",2675,4,290,4
5659,"DHA Defence, Karachi, Sindh",500,1,31,1
5661,"DHA Defence, Karachi, Sindh",1255,2,77,2
5663,"DHA Defence, Karachi, Sindh",950,2,60,2
5664,"DHA Defence, Karachi, Sindh",1216,2,73,2
5665,"DHA Defence, Karachi, Sindh",1300,2,98,2
5671,"DHA Defence, Karachi, Sindh",670,1,36.85,1
5674,"DHA Defence, Karachi, Sindh",1477,2,80,3
5680,"DHA Defence, Karachi, Sindh",1253,2,65.8,2
5683,"DHA Defence, Karachi, Sindh",750,2,40,2
5684,"DHA Defence, Karachi, Sindh",1615,3,115,3
5685,"DHA Defence, Karachi, Sindh",1095,2,60,2
5688,"DHA Defence, Karachi, Sindh",1793,3,98,3
5692,"DHA Defence, Karachi, Sindh",400,1,10,1
5697,"DHA Defence, Karachi, Sindh",1246,2,67.4,2
5698,"DHA Defence, Karachi, Sindh",3200,4,224,4
5703,"DHA Defence, Karachi, Sindh",1200,3,128,3
5706,"DHA Defence, Karachi, Sindh",1020,2,62,2
5707,"DHA Defence, Karachi, Sindh",600,2,35,2
5708,"DHA Defence, Karachi, Sindh",3563,6,310,4
5710,"DHA Defence, Karachi, Sindh",1685,3,100,3
5712,"DHA Defence, Karachi, Sindh",1210,2,83,2
5715,"DHA Defence, Karachi, Sindh",1255,3,77.68,3
5716,"DHA Defence, Karachi, Sindh",1482,3,86,3
5717,"DHA Defence, Karachi, Sindh",1344,2,108,2
5719,"DHA Defence, Karachi, Sindh",3300,5,318,4
5720,"DHA Defence, Karachi, Sindh",1210,2,85,2
5721,"DHA Defence, Karachi, Sindh",1532,3,98.13,3
5722,"DHA Defence, Karachi, Sindh",1245,2,110,2
5724,"DHA Defence, Karachi, Sindh",1360,2,85,3
5726,"DHA Defence, Karachi, Sindh",1200,3,110,4
5727,"DHA Defence, Karachi, Sindh",1418,2,104,2
5728,"DHA Defence, Karachi, Sindh",1020,2,55,2
5734,"DHA Defence, Karachi, Sindh",1200,3,67,3
5739,"DHA Defence, Karachi, Sindh",1085,2,64,2
5740,"DHA Defence, Karachi, Sindh",750,1,30,1
5744,"DHA Defence, Karachi, Sindh",1030,2,80,2
5745,"DHA Defence, Karachi, Sindh",1852,2,95,3
5747,"DHA Defence, Karachi, Sindh",918,2,49,2
5748,"DHA Defence, Karachi, Sindh",1255,2,90,3
5751,"DHA Defence, Karachi, Sindh",1255,3,77.68,3
5752,"DHA Defence, Karachi, Sindh",1198,2,82,2
5753,"DHA Defence, Karachi, Sindh",2072,4,139,3
5755,"DHA Defence, Karachi, Sindh",2500,4,200,4
5756,"DHA Defence, Karachi, Sindh",2215,4,160,3
5757,"DHA Defence, Karachi, Sindh",1500,2,90,3
5758,"DHA Defence, Karachi, Sindh",900,2,55,2
5761,"DHA Defence, Karachi, Sindh",1006,2,57,2
5763,"DHA Defence, Karachi, Sindh",1128,2,65.7,2
5765,"DHA Defence, Karachi, Sindh",1310,2,68,3
5766,"DHA Defence, Karachi, Sindh",1390,2,86,2
5767,"DHA Defence, Karachi, Sindh",1390,2,76.45,3
5772,"DHA Defence, Karachi, Sindh",1200,2,69,3
5774,"DHA Defence, Karachi, Sindh",1939,3,98,3
5776,"DHA Defence, Karachi, Sindh",675,1,45,1
5781,"DHA Defence, Karachi, Sindh",1690,3,85,3
5783,"DHA Defence, Karachi, Sindh",1680,3,117,3
5784,"DHA Defence, Karachi, Sindh",1047,2,84,2
5789,"DHA Defence, Karachi, Sindh",1100,2,85,3
5790,"DHA Defence, Karachi, Sindh",1685,3,85,3
5791,"DHA Defence, Karachi, Sindh",1050,2,65,2
5792,"DHA Defence, Karachi, Sindh",3401,5,230,4
5793,"DHA Defence, Karachi, Sindh",630,1,60,1
5794,"DHA Defence, Karachi, Sindh",1850,3,150,3
5795,"DHA Defence, Karachi, Sindh",1760,3,160,3
5797,"DHA Defence, Karachi, Sindh",1100,2,78,2
5801,"DHA Defence, Karachi, Sindh",1180,2,74,2
5803,"DHA Defence, Karachi, Sindh",1343,2,86,2
5804,"DHA Defence, Karachi, Sindh",1184,2,69,2
5805,"DHA Defence, Karachi, Sindh",3785,5,280,4
5813,"DHA Defence, Karachi, Sindh",2556,3,169,3
5814,"DHA Defence, Karachi, Sindh",1870,3,138,3
5817,"DHA Defence, Karachi, Sindh",2000,3,120,3
5818,"DHA Defence, Karachi, Sindh",1047,2,83,2
5822,"DHA Defence, Karachi, Sindh",1645,3,100,3
5823,"DHA Defence, Karachi, Sindh",870,2,65,2
5825,"DHA Defence, Karachi, Sindh",2000,3,145,3
5826,"DHA Defence, Karachi, Sindh",1766,3,130,3
5827,"DHA Defence, Karachi, Sindh",500,1,15,1
5829,"DHA Defence, Karachi, Sindh",680,1,46,1
5830,"DHA Defence, Karachi, Sindh",1278,2,90,2
5831,"DHA Defence, Karachi, Sindh",1025,2,66,2
5835,"DHA Defence, Karachi, Sindh",625,1,19,1
5840,"DHA Defence, Karachi, Sindh",948,2,75,2
5841,"DHA Defence, Karachi, Sindh",970,2,55,2
5843,"DHA Defence, Karachi, Sindh",1200,2,65,3
5844,"DHA Defence, Karachi, Sindh",1760,3,127,3
5845,"DHA Defence, Karachi, Sindh",1914,3,179,3
5847,"DHA Defence, Karachi, Sindh",1820,3,93,3
5848,"DHA Defence, Karachi, Sindh",1565,3,78,3
5850,"DHA Defence, Karachi, Sindh",924,2,76.23,2
5851,"DHA Defence, Karachi, Sindh",914,2,49,2
5852,"DHA Defence, Karachi, Sindh",2145,3,125,3
5853,"DHA Defence, Karachi, Sindh",1650,3,100,3
5857,"DHA Defence, Karachi, Sindh",1255,2,120,2
5860,"DHA Defence, Karachi, Sindh",2273,4,220,3
5863,"DHA Defence, Karachi, Sindh",2400,4,152,4
5866,"DHA Defence, Karachi, Sindh",3160,4,206,4
5868,"DHA Defence, Karachi, Sindh",627,1,30,1
5869,"DHA Defence, Karachi, Sindh",1435,3,73,3
5870,"DHA Defence, Karachi, Sindh",1620,3,130,3
5871,"DHA Defence, Karachi, Sindh",1862,3,125,3
5875,"DHA Defence, Karachi, Sindh",922,2,70,2
5876,"DHA Defence, Karachi, Sindh",850,2,72,2
5877,"DHA Defence, Karachi, Sindh",1123,2,64,2
5878,"DHA Defence, Karachi, Sindh",1235,2,75,2
5880,"DHA Defence, Karachi, Sindh",1200,1,65,2
5881,"DHA Defence, Karachi, Sindh",2790,5,204,4
5882,"DHA Defence, Karachi, Sindh",2010,3,125,4
5885,"DHA Defence, Karachi, Sindh",1265,2,67,2
5886,"DHA Defence, Karachi, Sindh",1233,2,100,2
5887,"DHA Defence, Karachi, Sindh",2100,5,150,5
5889,"DHA Defence, Karachi, Sindh",1000,2,58,2
5890,"DHA Defence, Karachi, Sindh",2400,5,190,4
5893,"DHA Defence, Karachi, Sindh",1917,4,100,3
5894,"DHA Defence, Karachi, Sindh",1100,2,57,2
5895,"DHA Defence, Karachi, Sindh",2774,4,208,4
5896,"DHA Defence, Karachi, Sindh",1800,4,180,4
5898,"DHA Defence, Karachi, Sindh",530,1,29.44,1
5903,"DHA Defence, Karachi, Sindh",1200,1,95,1
5905,"DHA Defence, Karachi, Sindh",881,2,48.06,2
5907,"DHA Defence, Karachi, Sindh",1936,3,110,3
5908,"DHA Defence, Karachi, Sindh",1680,3,101,3
5910,"DHA Defence, Karachi, Sindh",2100,4,145,3
5911,"DHA Defence, Karachi, Sindh",1070,2,58,2
5916,"DHA Defence, Karachi, Sindh",1500,2,75,3
5917,"DHA Defence, Karachi, Sindh",1652.5,3,90,3
5918,"DHA Defence, Karachi, Sindh",1085,2,57,2
5919,"DHA Defence, Karachi, Sindh",905,1,50,1
5920,"DHA Defence, Karachi, Sindh",1685,3,95,3
5921,"DHA Defence, Karachi, Sindh",1200,2,75,2
5925,"DHA Defence, Karachi, Sindh",1257,2,71.03,2
5926,"DHA Defence, Karachi, Sindh",1465,3,75,3
5927,"DHA Defence, Karachi, Sindh",1650,3,111,3
5929,"DHA Defence, Karachi, Sindh",1230,4,80,4
5930,"DHA Defence, Karachi, Sindh",1300,2,82,2
5933,"DHA Defence, Karachi, Sindh",2159,3,110,3
5935,"DHA Defence, Karachi, Sindh",1130,2,60,2
5940,"DHA Defence, Karachi, Sindh",630.5,1,32.15,1
5942,"DHA Defence, Karachi, Sindh",2384,4,165,3
5945,"DHA Defence, Karachi, Sindh",2017,3,105,3
5946,"DHA Defence, Karachi, Sindh",1500,3,138,3
5947,"DHA Defence, Karachi, Sindh",700,2,43,2
5949,"DHA Defence, Karachi, Sindh",1302,2,68.5,2
5950,"DHA Defence, Karachi, Sindh",905,1,52,1
5954,"DHA Defence, Karachi, Sindh",1760,3,111,3
5955,"DHA Defence, Karachi, Sindh",1322,2,75,2
5956,"DHA Defence, Karachi, Sindh",1365,3,99,3
5957,"DHA Defence, Karachi, Sindh",1500,3,125,3
5961,"DHA Defence, Karachi, Sindh",4100,3,300,4
5964,"DHA Defence, Karachi, Sindh",2648,5,251.5,4
5966,"DHA Defence, Karachi, Sindh",654,1,22,1
5967,"DHA Defence, Karachi, Sindh",708,1,55,2
5968,"DHA Defence, Karachi, Sindh",1680,3,135,3
5969,"DHA Defence, Karachi, Sindh",990,2,58,2
5971,"DHA Defence, Karachi, Sindh",1088,2,62,2
5972,"DHA Defence, Karachi, Sindh",1414,3,77.5,3
5973,"DHA Defence, Karachi, Sindh",1240,2,100,2
5974,"DHA Defence, Karachi, Sindh",1810,3,118,3
5981,"DHA Defence, Karachi, Sindh",614.5,1,30.715,1
5982,"DHA Defence, Karachi, Sindh",1000,2,97,2
5985,"DHA Defence, Karachi, Sindh",1430,3,78.65,3
5986,"DHA Defence, Karachi, Sindh",1130,2,58,3
5987,"DHA Defence, Karachi, Sindh",1850,2,110,3
5994,"DHA Defence, Karachi, Sindh",1484,3,79.19,3
5997,"DHA Defence, Karachi, Sindh",1330,2,107,2
5998,"DHA Defence, Karachi, Sindh",2127,3,135,3
6004,"DHA Defence, Karachi, Sindh",3930,7,329,5
6011,"DHA Defence, Karachi, Sindh",2010,3,115,4
6012,"DHA Defence, Karachi, Sindh",1418,2,106,2
6017,"DHA Defence, Karachi, Sindh",1293,2,85,3
6018,"DHA Defence, Karachi, Sindh",1200,2,66,3
6019,"DHA Defence, Karachi, Sindh",1210,2,75,2
6020,"DHA Defence, Karachi, Sindh",1126,2,69,2
6021,"DHA Defence, Karachi, Sindh",1840,4,175,3
6024,"DHA Defence, Karachi, Sindh",1276,2,75,2
6025,"DHA Defence, Karachi, Sindh",1216,2,83,2
6026,"DHA Defence, Karachi, Sindh",840,1,75,1
6028,"DHA Defence, Karachi, Sindh",1162,2,65,2
6029,"DHA Defence, Karachi, Sindh",658,1,34,1
6032,"DHA Defence, Karachi, Sindh",1760,2,116,3
6036,"DHA Defence, Karachi, Sindh",1302.5,2,67.73,2
6037,"DHA Defence, Karachi, Sindh",3317.5,5,268.5,4
6039,"DHA Defence, Karachi, Sindh",2420,4,190,4
6040,"DHA Defence, Karachi, Sindh",1216,2,80,2
6041,"DHA Defence, Karachi, Sindh",1459,2,110,3
6042,"DHA Defence, Karachi, Sindh",600,1,52,2
6044,"DHA Defence, Karachi, Sindh",1695,3,150,3
6045,"DHA Defence, Karachi, Sindh",1410,2,75,2
6047,"DHA Defence, Karachi, Sindh",880,2,50,2
6051,"DHA Defence, Karachi, Sindh",693,1,34.3,1
6053,"DHA Defence, Karachi, Sindh",1920,3,150,3
6054,"DHA Defence, Karachi, Sindh",630,1,47,1
6056,"DHA Defence, Karachi, Sindh",705,1,55,1
6057,"DHA Defence, Karachi, Sindh",1330,2,93,2
6059,"DHA Defence, Karachi, Sindh",1000,2,53,2
6062,"DHA Defence, Karachi, Sindh",1737,2,95,3
6064,"DHA Defence, Karachi, Sindh",2100,4,150,4
6066,"DHA Defence, Karachi, Sindh",883,2,50,2
6071,"DHA Defence, Karachi, Sindh",3730,4,370,4
6075,"DHA Defence, Karachi, Sindh",1350,3,78.3,3
6076,"DHA Defence, Karachi, Sindh",1200,2,65,2
6077,"DHA Defence, Karachi, Sindh",1265,2,78,2
6078,"DHA Defence, Karachi, Sindh",1700,3,93.5,3
6080,"DHA Defence, Karachi, Sindh",1550,4,120,4
6081,"DHA Defence, Karachi, Sindh",1560,3,125,3
6084,"DHA Defence, Karachi, Sindh",1416,3,94,3
6086,"DHA Defence, Karachi, Sindh",1680,3,125,3
6088,"DHA Defence, Karachi, Sindh",1507,2,95,3
6091,"DHA Defence, Karachi, Sindh",550,1,23,1
6094,"DHA Defence, Karachi, Sindh",1520,2,90,3
6095,"DHA Defence, Karachi, Sindh",1060,2,55,2
6097,"DHA Defence, Karachi, Sindh",1570,3,78,3
6099,"DHA Defence, Karachi, Sindh",1355,3,76,2
6100,"DHA Defence, Karachi, Sindh",1537,3,110,3
6104,"DHA Defence, Karachi, Sindh",1750,3,150,3
6106,"DHA Defence, Karachi, Sindh",2800,7,250,7
6107,"DHA Defence, Karachi, Sindh",1987,4,165,3
6109,"DHA Defence, Karachi, Sindh",1191,2,90,2
